NUCC Code,Fashia - Facility Type,Fashia - Facility Subtype
251B00000X,Agency,Case Management Agency
251S00000X,Agency,Community / Behavioral Health Agency
251C00000X,Agency,Developmentally Disabled Services Day Training Agency
252Y00000X,Agency,Early Intervention Provider Agency
253J00000X,Agency,Foster Care Agency
251F00000X,Agency,Home Infusion Agency
253Z00000X,Agency,In Home Supportive Care Agency
251300000X,Agency,Local Education Agency (LEA)
251J00000X,Agency,Nursing Care Agency
251T00000X,Agency,PACE Provider Organization
251K00000X,Agency,Public Health or Welfare Agency
251X00000X,Agency,Supports Brokerage Agency
251V00000X,Agency,Voluntary or Charitable Agency
261Q00000X,Clinic,Clinic
261QM0855X,Clinic,Adolescent and Children Mental Health Clinic
261QA0600X,Clinic,Adult Day Care Clinic
261QM0850X,Clinic,Adult Mental Health Clinic
261QA0005X,Clinic,Ambulatory Family Planning Facility
261QA0006X,Clinic,Ambulatory Fertility Facility
261QA1903X,Clinic,Ambulatory Surgical Clinic
261QA0900X,Clinic,Amputee Clinic
261QA3000X,Clinic,Augmentative Communication Clinic
261QB0400X,Clinic,Birthing Clinic
261QC1500X,Clinic,Community Health Clinic
261QC1800X,Clinic,Corporate Health Clinic
261QC0050X,Clinic,Critical Access Hospital Clinic
261QD0000X,Clinic,Dental Clinic
261QD1600X,Clinic,Developmental Disabilities Clinic
261QE0002X,Clinic,Emergency Care Clinic
261QE0800X,Clinic,Endoscopy Clinic
261QF0050X,Clinic,Non-Surgical Family Planning Clinic
261QF0400X,Clinic,Federally Qualified Health Center (FQHC)
261QG0250X,Clinic,Genetics Clinic
261QH0100X,Clinic,Health Service Clinic
261QH0700X,Clinic,Hearing and Speech Clinic
261QI0500X,Clinic,Infusion Therapy Clinic
261QL0400X,Clinic,Lithotripsy Clinic
261QM1200X,Clinic,Magnetic Resonance Imaging (MRI) Clinic
261QM2500X,Clinic,Medical Specialty Clinic
261QM3000X,Clinic,Medically Fragile Infants and Children Day Care
261QM0801X,Clinic,Mental Health Clinic / Community Mental Health Center
261QM2800X,Clinic,Methadone Clinic
261QM1000X,Clinic,Migrant Health Clinic
